Pattern String,Pattern Type
Someone in Egypt bought,Activity Notification
"JOHN in Toowoomba City, Australia purchased a Resin Tank 7 hours ago",Activity Notification
"1,142 people have added to cart recently",Activity Notification
"6,743 people have viewed recently",Activity Notification
"Sierra in Cypress, California bought Beauty In All Dress, Dusty Blue about 46 minutes ago",Activity Notification
"Tristan in Markham, Canada purchased a Dragon Baseball Jersey",Activity Notification
Popular Item! 🔥 16 people are viewing this and 18 recently purchased it.,Activity Notification
105 pawrents are buying for their furkids now!,Activity Notification
339 users are currently active on our website,Activity Notification
"William in Pago Pago, United States purchased a",Activity Notification
"Oscar from Cajamarca, Peru purchased",Activity Notification
"Debby in Harpers Ferry, United States just bought: Icing Pen Decorating Tool",Activity Notification
"Someone in Tornado, United States just bought Fresh Melon Menthol 2 hours ago",Activity Notification
"Someone in Arden Hills, United States purchased 120ml Young Napoleon | Best Strawberry Shortcake eJuice | Vaporham Lincoln eLiquid about 42 minutes ago",Activity Notification
"Someone from Huntingtown, Maryland, United States purchased TopCoat® F11® Polish & Sealer - Web Special Kits Just Now",Activity Notification
"Ken in Three Bridges, United States purchased All Zebrawood + Olive Ash",Activity Notification
"tuvia eisenberg Systematics in Tel Aviv, Israel purchased a",Activity Notification
"Someone in Alexandria, United States just bought TTDeye Queen Green Colored Contact Lenses",Activity Notification
"Jeremy in Warroad, United States purchased a",Activity Notification
1 person is looking at this item.,Activity Notification
Get it fast! 14 added to bag today,Activity Notification
"Samuel in Minneapolis, United States purchased a Pod Juice Jewel Mint Cool ❄️Nicotine Salt e-Liquid 15/30ml 7 hours ago",Activity Notification
Someone in Canberra purchased\nADV.2 (Austracantha) about 41 minutes ago,Activity Notification
30 people have purchased this item,Activity Notification
Purchased 6 times this week.,Activity Notification
17 people have viewed this wine today,Activity Notification
24 people have purchased this wine today,Activity Notification
"Jonathan in Syracuse, United States just bought Electric Skateboard Battery Pack 36V 10S2P 4 hours ago",Activity Notification
8 customers have bought today,Activity Notification
80 Customers are considering this product right now.,Activity Notification
24 sold in last 24 hours.,Activity Notification
21 people looked at this during the last 24 hours,Activity Notification
"Someone in Byron Bay, NSW just bought",Activity Notification
Someone in Faizabad just bought: Pretty Love Penis Sleeve 7 inch an hour 2 minutes ago,Activity Notification
Bought by 39 people in last few hours! HOT SELLER!,Activity Notification
23 People viewing this product,Activity Notification
Someone in Keilor East bought a Piranta-Edge Skinning Knife - Blaze - Havalon Knives54 minutes ago,Activity Notification
1 other customers have this item in their shopping cart,Activity Notification
8 people are looking at this artwork,Activity Notification
104 people viewed this product recently!,Activity Notification
5 people are looking at this product right now,Activity Notification
19 people viewed this product per day,Activity Notification
6 other people looking at this item,Activity Notification
"Edwin in Woodland Park, NJ just bought",Activity Notification
65% of our customers added Surefit protection this year.,Activity Notification
3 PEOPLE VIEWING,Activity Notification
"Synne Kristine in Halden, bought Classic Bokksu Subscription (Billed Every 1 Month) (Ships every 1 Months) about 45 minutes ago",Activity Notification
24 people currently interested,Activity Notification
"Someone in Culgoa, Australia purchased Savelli Epic Mens Comfortable Leather Lace Up Boots Made In Brazil",Activity Notification
3 people are looking at this item right now,Activity Notification
"Someone in Saint Kilda, Victoria purchased Frank Queen Size Bed Base",Activity Notification
DON'T LET 'EM GET AWAY Several people have recently viewed this item.,Activity Notification
7 users have looked at this product in the past 6 minutes,Activity Notification
"IBKUL Solid Mock Neck Half Zip Pullover purchased from Clinton, MD, US 1 minute ago",Activity Notification
12 recently purchased it.,Activity Notification
2 people are viewing this,Activity Notification
Someone from Airdrie & 10820 others bought this item recently.,Activity Notification
Someone in Yanchep bought a 52mm Mechanical 'Performance' Boost Gauge - Blue/White 9 seconds ago,Activity Notification
THIS PRODUCT HAS BEEN VIEWED 480 TIMES IN THE LAST 48 HOURS,Activity Notification
89 currently viewing,Activity Notification
"Our most recent customers are from New Rochelle, Roseville, and Brooksville",Activity Notification
HOT PRODUCT Over 250 people are looking at this item.,Activity Notification
Other people want this. 10 people have this in their cart right now.,Activity Notification
88 PEOPLE VIEWED ITEM IN THE LAST 24 HOURS,Activity Notification
143 BOUGHT,Activity Notification
"JULIE in Oak Brook, United States purchased a Watercolor Brush Pens 24 Refillable Colors with Travel Case about 10 hours ago",Activity Notification
5338 people bought this,Activity Notification
"Denise in Saluda, Virginia bought Terani Couture - 1911E9095 Embroidered Asymmetric Neck Mermaid Gown",Activity Notification
"Mher from San Angelo, TX Recently made a purchase with Crossrope",Activity Notification
"Son in Suisun City, United States purchased Commander Lex",Activity Notification
31 have it in their cart,Activity Notification
69 people are viewing this,Activity Notification
"Rick in Columbia, United States purchased a",Activity Notification
"Someone in DOVER, United States just bought Crew 15 mins ago",Activity Notification
James from Colonia purchased a,Activity Notification
Someone in New Lynn bought a Kogan A1 Earphones with Inline Control for IOS/Android 1 hour ago.,Activity Notification
146 people recently purchased this.,Activity Notification
"estiven in Deer Park, United States purchased PreWash™ 4 oz",Activity Notification
9 people are currently viewing this product,Activity Notification
"Michael M. from Lacey, WA just bought a Cal King",Activity Notification
1 people bought Jotter To Do Refill in the last few hours,Activity Notification
308 viewed per day,Activity Notification
7 sold in last 24 hours,Activity Notification
2 viewed per hour,Activity Notification
"Jeremy in Stockton, United States purchased a",Activity Notification
57 PEOPLE HAVE LOOKED AT THIS TODAY,Activity Notification
This is in 5 other carts.,Activity Notification
Purchased 8 times in the last few days.,Activity Notification
6 people have looked at this in the last few hrs.,Activity Notification
"Joe M from , Bought a Cartoon Caterpillar Rigged 3D Model Recently",Activity Notification
Someone in Bacchus Marsh bought a Noosa Basics Deodorant Stick - Sensitive (60g) 27 seconds ago,Activity Notification
"Stacey in Saint Marys, United States purchased Extra Long (10 Ft) Fiber Cloth Sync & Charge USB Android Cable - Assorted Colors about 30 minutes ago",Activity Notification
"mark in richmond hill, United States purchased a Fugoo Tough 11 minutes ago",Activity Notification
93 PEOPLE HAVE BOUGHT THIS PRODUCT TODAY,Activity Notification
7 sold in the last 48 hours,Activity Notification
210+ bought,Activity Notification
"Someone in Chambersburg, Pennsylvania purchased",Activity Notification
99 people are looking at this right now,Activity Notification
11 people viewed this today!,Activity Notification
Last purchase was 18 minutes ago by someone from Dublin,Activity Notification
Chirag in Anoopshahr just got the JAYS - a-JAYS One+ about 17 minutes ago,Activity Notification
Cheryl in Ontario bought 100% Organic Reishi Mushroom Powder 100g about 16 minutes ago,Activity Notification
Viewed 1040 times in the last 7 days,Activity Notification
Hurry up! 6 people other than you have this product in their cart,Activity Notification
Hurry up! 22 people other than you have this product in their cart,Activity Notification
Someone in Louisville Kentucky United States Purchased Gold Presidential Bracelet With Watch Buckle 9 hours ago,Activity Notification
8 people have viewed this product today!,Activity Notification
Don't miss out! We've sold 38 in the last few days.,Activity Notification
52 people are looking at this right now.,Activity Notification
#6 Bestseller in Rugs This item was viewed 92 times in the last day.,Activity Notification
Over 38 bought,Activity Notification
"Someone in Flemington, United States purchased Anti-Aging Eyelid Tape (Contains 100 Strips) Just now",Activity Notification
OH SO POPULAR! 21 bought in the last 7 days.,Activity Notification
6 people have looked at this in the last few hrs.,Activity Notification
"Ida in Tangerang Selatan, Indonesia purchased Iseya VG10 G-Series 33 layer Damascus Japanese Chef's Santoku Knife , 180mm about 1 hour ago",Activity Notification
156 sold in last 24 hours,Activity Notification
RECENTLY VIEWED 2 others viewed this in the last few hours,Activity Notification
40 users are currently active on our website just now.,Activity Notification
45 ADDED TO BAG IN THE PAST 24 HOURS,Activity Notification
7 people looked at this product in the last 24 hours.,Activity Notification
Someone bought: HYPE BLUE LARGE SPLAT KIDS LEGGINGS,Activity Notification
🔥👁️ 1 person is viewing this.,Activity Notification
"Awhi from Hicks Bay, Gisborne, New Zealand just bought",Activity Notification
251 people are viewing this right now,Activity Notification
"Someone in Cedarhurst, United States purchased a Sproet and Sprout Shell/Violet Stripe Bloomers",Activity Notification
Someone in Castle Hill bought a Philips Essential LED Downlight Kit | 5W 4000K few hours ago.,Activity Notification
"Someone in Joliet, Illinois purchased a Yocan Evolve Plus XL Vaporizer",Activity Notification
127 People viewed this product this week,Activity Notification
2 people have looked at this in the last couple of hrs.,Activity Notification
Someone in United States just purchased a,Activity Notification
Trending now! Added to basket 490 times today,Activity Notification
Trending now! Added to basket 38 times today,Activity Notification
"Jacob in Seymour, Wisconsin, United States purchased a Bass XL just now!",Activity Notification
IN 43 PEOPLE'S SHOPPING BAG,Activity Notification
MOST POPULAR,Activity Notification
660 people have viewed today,Activity Notification
113 people have viewed in the last 24hrs,Activity Notification
407 customers have viewed this item recently,Activity Notification
Fast Mover: 35 PEOPLE added this to cart today!,Activity Notification
"Someone from Portland, United States (US) purchased MODALERT recently.",Activity Notification
22 people have looked at this part recently,Activity Notification
"Someone from South Gate, California just purchased the Admiral JR / Spektrum Servo Connector Plug Set (Male and Female - 2 Pairs)",Activity Notification
Someone in Red Cliffs bought a RHK Yamaha YZ/YZF/WRF 99-16 Blue Pursuit Footpegs 3 minutes ago,Activity Notification
This product was viewed 26 seconds ago by someone from Princeton,Activity Notification
"Laurie in Urraween, Queensland bought No Brainer USB Charging Anti-Theft Backpack",Activity Notification
"Carol in St. Louis, Missouri bought Original USB Charging Anti-Theft Backpack",Activity Notification
8 people have this in their bag right now.,Activity Notification
Purchased 100+ times in the last few days.,Activity Notification
Someone in Pittsworth bought a Ultimate COLT Anal Training Kit 2 hours ago,Activity Notification
"Carl F. from Fort Ann, NY bought a King",Activity Notification
1 people are viewing this currently,Activity Notification
92 customers bought this in the last 48 hours,Activity Notification
62 people have looked at this item in the last few hours.,Activity Notification
13 people have added this to their cart,Activity Notification
"GRACE from ORLANDO, United States bought Camouflage Jumpsuit 31 minutes ago          ",Activity Notification
"Someone in Vancouver, Washington purchased a Orthofeet Men's Orthotic Insoles about 38 minutes",Activity Notification
Leslie in USA just Purchased Special Design Exclusive Handmade Silver Ring,Activity Notification
135 people have this in their cart,Activity Notification
Add to Wish List(13 People Have Added),Activity Notification
77 PEOPLE LIKE THIS,Activity Notification
43 added to bag in the last 48hrs,Activity Notification
"Shopper from Saint John, NB viewed Lenovo ThinkCentre M710t 10M9000RUS Desktop Computer 3 minutes ago!",Activity Notification
Over 200 views in 24 hrs,Activity Notification
227 Bought Already,Activity Notification
POPULAR 62 others checked this out in the last few hours.,Activity Notification
POPULAR 64 others checked this out in the last few hours.,Activity Notification
"Israël in Metz, France purchased a More ADVANCED Chord Substitutions",Activity Notification
"Someone in Cashmere bought a 
RCM Cosworth Timing Belt Kit 99-02MY EJ20/22/251 hour ago",Activity Notification
Viewed 744 times today,Activity Notification
"2,229 people have viewed this item",Activity Notification
715 people have added this item to cart,Activity Notification
71 people have purchased this item,Activity Notification
12 customers viewed this product today!,Activity Notification
"Nancy in Pennsylvania purchased 24"" Italian Sterling Silver Milano Twist Adjustable Chain",Activity Notification
"Armin Dinovic bought 10M Runescape 3 Gold Order total: 3,70€ About 10 seconds ago",Activity Notification
"Trey in Columbia, United States purchased Leather Cord Capsule",Activity Notification
"Abbie in Calwell, Australia purchased Shark Bite Socks about 1 hour ago",Activity Notification
6 customers have this in their basket,Activity Notification
7 customers have this in their basket,Activity Notification
6 customers have this in their basket,Activity Notification
Someone in Boling Iago Texas United States Purchased Seek Discomfort Sketch White iPhone Case 5 hours ago,Activity Notification
Selling fast! Add to bag 7 times in the last 48 hours.,Activity Notification
228 People Have Viewed This Product Recently!,Activity Notification
"Sandeep in Hawthorne, California bought Sadie Ponte Pants - Black Just Now",Activity Notification
jennifer just bought Rainbow Moonstone Healing Heartabout 6 hours ago,Activity Notification
3 other people are currently viewing this item.,Activity Notification
"Someone in Petaling Jaya, Malaysia just bought SNEAKERGUARD Midsole Paint Marker - BOOST White",Activity Notification
"Oliver in Rotterdam, Netherlands purchased a England Away Soccer Shorts 2018 About 9 hours ago",Activity Notification
"Michael in Pontiac, United States purchased a  ",Activity Notification
Other 2 customers have it in their cart.,Activity Notification
"Trey in Sparta, United States purchased Stealth Angel Ultra Lightweight & Portable Sleeping Bag about 45 minutes ago",Activity Notification
1044 sold in past 12 months,Activity Notification
2 customers recently bought it,Activity Notification
"Tambria in Hattiesburg just bought Peruvian Virgin Natural Wave Hair 3 Bundles with Lace Frontal, 100% Human Virgin Hair ",Activity Notification
2 PEOPLE HAVE ADDED THIS ITEM TO THEIR CART TODAY,Activity Notification
One customer bought this article in the last 53 min.,Activity Notification
Someone in Mount Louisa bought a Coleman Folding Table & Bench Set 2 minutes ago,Activity Notification
2+ people just viewed this product,Activity Notification
Over 238 people have bought this product,Activity Notification
994 items sold this hour.,Activity Notification
Sara from Philadelphia just saved $68 on her order.,Activity Notification
52 people have added this product to bag in the last 72 hours,Activity Notification
"Natalie in Graham, United States purchased a FREE BTS Answer Magic Pillow about 1 hour ago",Activity Notification
Someone from purchased a HOLEES Original Ladies II - Navy About 9 hours ago,Activity Notification
4 bought in the last 24 hours.,Activity Notification
Someone in Spain purchased,Activity Notification
137 users are currently active on our website,Activity Notification
4 people are looking at this right now.,Activity Notification
Last purchased at 11:19am today.,Activity Notification
41 people have looked at this in the last couple of hours,Activity Notification
"Someone from Osijek, Croatia just bought TMC CP Style Single Pistol Pouch",Activity Notification
"Ashley in Auburn, United States purchased a Check Plz iPhone X/Xs Case about 24 minutes ago",Activity Notification
6 others have already bought this deal today!,Activity Notification
232 people are viewing this offer!,Activity Notification
"Someone in Shelby twp, United States just bought Galaxy Note 8 10000mAh ZeroShock Battery Case 3 days ago",Activity Notification
Someone added 1pc 4ocean natural stone beads beaded bracelet men boho handmade to their cart RIGHT NOW,Activity Notification
436 users are currently active on our website Just now,Activity Notification
39 people have this in their cart,Activity Notification
No thanks! I don't like deals,Confirmshaming
"No, I'll rather pay full price.",Confirmshaming
I don't like discounts,Confirmshaming
"No, thanks. I don't like great deals.",Confirmshaming
"No Thanks, I rather pay full price",Confirmshaming
"No thanks, I’ll skip this amazing super-saver deal. I don’t need so many beautiful textures",Confirmshaming
"No, I don't feel lucky",Confirmshaming
"No thanks, I don't like saving money",Confirmshaming
"No thanks, I'd like 0% off",Confirmshaming
"No thanks, I despise coupons!",Confirmshaming
"No thanks, I don't want to build one.. I'd rather kick rocks!",Confirmshaming
"No, I don't feel lucky.",Confirmshaming
"No, I don't feel lucky",Confirmshaming
"No thanks, I don't like getting free stuff.",Confirmshaming
"No, I don't feel lucky",Confirmshaming
"No thanks, I don't like good deals.",Confirmshaming
"No, I don't feel lucky",Confirmshaming
"no thanks, I like paying full price",Confirmshaming
"No, I don't feel lucky",Confirmshaming
"No, I don't feel lucky",Confirmshaming
I WANT TO PAY MORE LATER ;),Confirmshaming
"No thanks, I dont want a discount",Confirmshaming
"No, I don't feel lucky",Confirmshaming
"No thanks, I don't like FREE stuff.",Confirmshaming
"No thanks, I prefer to pay full price.",Confirmshaming
"No, I don't feel lucky",Confirmshaming
"NO, I DON'T FEEL LUCKY",Confirmshaming
"No, I don't feel lucky",Confirmshaming
"No thanks, I hate saving money",Confirmshaming
"No, I don't feel lucky",Confirmshaming
I do not want to protect my item,Confirmshaming
"No, thanks, I´d rather pay more",Confirmshaming
"No thanks, I don't like saving money",Confirmshaming
"No, I don't want a discount",Confirmshaming
"No thanks, I'll pay full price!",Confirmshaming
"NO THANKS, I DON'T WANT TO SAVE MONEY",Confirmshaming
"No Thanks, I Don't Like Exclusive Offers.",Confirmshaming
"No thanks, I'll just pay full price.",Confirmshaming
"NO, I'D RATHER PAY FULL PRICE",Confirmshaming
"No, I don't feel lucky",Confirmshaming
"No, I don't feel lucky",Confirmshaming
"No, thank you. I prefer to pay the full price",Confirmshaming
No I don't feel lucky,Confirmshaming
I'd rather not save,Confirmshaming
"No, I don't feel lucky",Confirmshaming
"No, I don't feel lucky",Confirmshaming
"No thanks, I’d rather pay full price.",Confirmshaming
"No thanks, I don’t like fun and games.",Confirmshaming
"no thanks, I hate fun & games",Confirmshaming
"No, I don't feel lucky",Confirmshaming
"No thanks, I don't want 15% off",Confirmshaming
"No, I'd rather do it the hard way...",Confirmshaming
"No, I don't feel lucky",Confirmshaming
"No Thanks, I Don't Like Saving Money.",Confirmshaming
"NO THANKS, I DON’T MIND MISSING OUT",Confirmshaming
I'LL PAY FULL PRICE,Confirmshaming
"No, I don't want great deals.",Confirmshaming
"No thanks, I don't like free stuff",Confirmshaming
"No thanks, I want to pay the full price.",Confirmshaming
"No, I don't feel lucky",Confirmshaming
"NO, I'LL PAY FULL PRICE",Confirmshaming
"No, thanks. I'd rather pay full price.",Confirmshaming
"no thanks, I don't like to save",Confirmshaming
"No thank you, I prefer to pay for shipping.",Confirmshaming
"Nah, I'll pay full price",Confirmshaming
No thanks I definitely measured correctly,Confirmshaming
No thanks. I don’t want to save money.,Confirmshaming
No thanks. I love chaos!,Confirmshaming
"No thanks, I’d rather not win.",Confirmshaming
"No thanks, I prefer to pay more for shoes!",Confirmshaming
"No thanks, I'll pay full price",Confirmshaming
"No thanks, I'll still want to pay full price",Confirmshaming
"No thanks, I don't want any deals",Confirmshaming
"No thanks, I don't like promotions and exclusive content.",Confirmshaming
"NO THANKS, I'D RATHER PAY FULL PRICE",Confirmshaming
"No Thanks, I Prefer Paying Full Price",Confirmshaming
"No Thanks, I Don't Want To Save",Confirmshaming
"No Thanks, I'd Rather Pay Full Price",Confirmshaming
"No, thanks. I'd prefer not to save.",Confirmshaming
"No Thanks, I don't want official software at the best price.",Confirmshaming
"No thanks, I don't want to look my best",Confirmshaming
"Nah, I like paying full price",Confirmshaming
No thanks - I don't want to save money,Confirmshaming
"I DON'T LIKE FREE GIFTS, NO THANKS",Confirmshaming
"No thanks, I don't want 15% off",Confirmshaming
I'LL PAY FULL PRICE,Confirmshaming
I'll Shop Without A Discount,Confirmshaming
I'd rather pay full price,Confirmshaming
"No thanks, I don’t like saving money.",Confirmshaming
I'LL PAY FULL PRICE,Confirmshaming
"No Thanks, I Don't Want a Discount",Confirmshaming
"NO THANKS, I DON’T WANT 15% OFF",Confirmshaming
"No thanks, I don’t want to save",Confirmshaming
"No Thanks, I Don't Want a Free Gift",Confirmshaming
"No thanks, I want to pay full price",Confirmshaming
"No thanks, I've got too much cool Glock stuff!",Confirmshaming
No I don't feel lucky,Confirmshaming
"No thanks, I'm not interested",Confirmshaming
"No thank you, I prefer to pay full price",Confirmshaming
"NO, I'LL PAY FULL PRICE",Confirmshaming
"No thanks, I don't like deals.",Confirmshaming
"NO THANKS, I'll PAY FULL PRICE",Confirmshaming
"No thanks, I hate cool stuff",Confirmshaming
No thanks. I'd rather pay full price.,Confirmshaming
"No, I'd rather pay full price.",Confirmshaming
"No thanks, I’d rather pay more",Confirmshaming
"No Thanks, I don't like exclusive deals.",Confirmshaming
"No thanks, I don't want the free gift.",Confirmshaming
I'LL PAY FULL PRICE,Confirmshaming
"No thanks, I'd rather pay full price.",Confirmshaming
"No thanks, I don't like discounts",Confirmshaming
No I don't feel lucky,Confirmshaming
"NO THANKS, I DON'T WANT TO SAVE MONEY",Confirmshaming
"NO, THANKS. I DON'T LIKE DISCOUNTS ",Confirmshaming
"NO THANKS, I DON'T WANT TO SAVE",Confirmshaming
"No Thanks, I don't like free stuff.",Confirmshaming
"No thanks, I don't like winning",Confirmshaming
"No thanks, I will pay full price.",Confirmshaming
I don't feel lucky,Confirmshaming
"No Thanks, I Prefer Paying Full Price.",Confirmshaming
"Yes, I Want To Save Money!No Thanks",Confirmshaming
I'D RATHER PAY FULL PRICE,Confirmshaming
No thanks. I prefer paying full price.,Confirmshaming
"No, thanks. I'd rather pay full price.",Confirmshaming
"No thanks, I'd rather pay more",Confirmshaming
"No, I don't feel lucky",Confirmshaming
"No, I don't feel lucky",Confirmshaming
"No thanks, free stuff isn't for me.",Confirmshaming
"No Thanks, I'll Pay Full Price",Confirmshaming
No thanks. I don’t want deals.,Confirmshaming
"No Thanks, I prefer not to have a protection plan",Confirmshaming
"NO THANKS, I DON'T WANT 20% OFF MY ORDER",Confirmshaming
"No thanks, I don't want a free gift.",Confirmshaming
"No thanks! I'd rather join the """"Pay Full Price for Things"""" club.",Confirmshaming
I don't want a discount,Confirmshaming
No thanks. I don't like free things...,Confirmshaming
"no thanks, I'll save money another day",Confirmshaming
"No thanks, I don't want discount",Confirmshaming
"No thanks, I don't like exclusive offers",Confirmshaming
"No Thanks, I don't want a discount",Confirmshaming
"No Thanks, I'd rather pay full price",Confirmshaming
"No thanks, I like full price",Confirmshaming
I'LL PAY FULL PRICE,Confirmshaming
"No thanks, I'm not interested in saving money.",Confirmshaming
"No Thanks, I'll let this offer sail away",Confirmshaming
I Don't Like to Save Money,Confirmshaming
"No Thanks, I like paying full price.",Confirmshaming
"No Thanks, I Prefer Paying Full Price.",Confirmshaming
"No, I don't feel lucky",Confirmshaming
"No, I don't feel lucky",Confirmshaming
No thanks. I'd rather pay full price.,Confirmshaming
"No Thanks, I prefer paying full price.",Confirmshaming
"[NO THANKS, I'LL JUST WALK]",Confirmshaming
I'LL PAY FULL PRICE,Confirmshaming
"No Thanks, I Don't Want a Discount",Confirmshaming
No I don't feel lucky,Confirmshaming
"NO THANKS, I'D RATHER PAY FULL PRICE",Confirmshaming
"No thanks, I don't like to save",Confirmshaming
"No thanks, I like paying full price",Confirmshaming
"No thanks, I'll be the last to know.",Confirmshaming
"No, I don't feel lucky",Confirmshaming
"No, I Don't Like Discounts",Confirmshaming
"NO THANKS, I DON'T LIKE FREE STUFF",Confirmshaming
"No thanks, I don't like winning.",Confirmshaming
I don't want to save money,Confirmshaming
"No thanks, I don't like savings",Confirmshaming
"NO THANKS, I'D RATHER PAY FULL PRICE",Confirmshaming
"No, I don't feel lucky",Confirmshaming
"No thanks, I don't want to save up to 75%",Confirmshaming
"50% OFF Everything (yep, even sale) + $5.99 Shipping* ENDS IN 12h 13m 56s",Countdown Timer
Your order is reserved for 09:45 minutes!,Countdown Timer
